date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:03:02	6212/6212	---M--	200	added ('OK')	image/jpeg	etag:%2224e1803-1844-5587f49a3315f%22	http://www.dodladairy.com/images/sample/clients/003.jpg	C:/ball%20baba/doodla/www.dodladairy.com/images/sample/clients/003.jpg	(from http://www.dodladairy.com/products.html)
00:03:04	11634/11634	---M--	200	added ('OK')	image/jpeg	etag:%2224e1804-2d72-536cc762ff25e%22	http://www.dodladairy.com/images/sample/clients/004.jpg	C:/ball%20baba/doodla/www.dodladairy.com/images/sample/clients/004.jpg	(from http://www.dodladairy.com/products.html)
00:03:06	9593/9593	---M--	200	added ('OK')	image/jpeg	etag:%2224e1805-2579-536cc764f902f%22	http://www.dodladairy.com/images/sample/clients/005.jpg	C:/ball%20baba/doodla/www.dodladairy.com/images/sample/clients/005.jpg	(from http://www.dodladairy.com/products.html)
00:03:09	9670/9670	---M--	200	added ('OK')	image/jpeg	etag:%2224e1806-25c6-536cc766f58f9%22	http://www.dodladairy.com/images/sample/clients/006.jpg	C:/ball%20baba/doodla/www.dodladairy.com/images/sample/clients/006.jpg	(from http://www.dodladairy.com/products.html)
00:03:11	9562/9562	---M--	200	added ('OK')	image/jpeg	etag:%2224e1807-255a-536cc768eac93%22	http://www.dodladairy.com/images/sample/clients/007.jpg	C:/ball%20baba/doodla/www.dodladairy.com/images/sample/clients/007.jpg	(from http://www.dodladairy.com/products.html)
00:03:13	8455/8455	---M--	200	added ('OK')	image/jpeg	etag:%2224e1808-2107-536cc76aa56aa%22	http://www.dodladairy.com/images/sample/clients/008.jpg	C:/ball%20baba/doodla/www.dodladairy.com/images/sample/clients/008.jpg	(from http://www.dodladairy.com/products.html)
00:03:15	9352/9352	---M--	200	added ('OK')	image/jpeg	etag:%2224e1809-2488-536cc76ca3acc%22	http://www.dodladairy.com/images/sample/clients/009.jpg	C:/ball%20baba/doodla/www.dodladairy.com/images/sample/clients/009.jpg	(from http://www.dodladairy.com/products.html)
00:04:11	85905/85905	---M--	200	added ('OK')	image/png	etag:%2224e17f6-14f91-5538c2471ab13%22	http://www.dodladairy.com/images/portfolio/thumb/milk-01.png	C:/ball%20baba/doodla/www.dodladairy.com/images/portfolio/thumb/milk-01.png	(from http://www.dodladairy.com/dodlamilk.html)
00:04:27	97118/97118	---M--	200	added ('OK')	image/png	etag:%2224e17fa-17b5e-5538c2447e3a5%22	http://www.dodladairy.com/images/portfolio/thumb/milk-03.png	C:/ball%20baba/doodla/www.dodladairy.com/images/portfolio/thumb/milk-03.png	(from http://www.dodladairy.com/dodlamilk.html)
00:04:43	89622/89622	---M--	200	added ('OK')	image/png	etag:%2224e17fc-15e16-5538c249f375c%22	http://www.dodladairy.com/images/portfolio/thumb/milk-04.png	C:/ball%20baba/doodla/www.dodladairy.com/images/portfolio/thumb/milk-04.png	(from http://www.dodladairy.com/dodlamilk.html)
00:04:45	715151/715151	---M--	200	added ('OK')	image/jpeg	etag:%2224e181a-ae98f-55b6c0a7c67cb%22	http://www.dodladairy.com/images/sample/slider/inner_05.jpg	C:/ball%20baba/doodla/www.dodladairy.com/images/sample/slider/inner_05.jpg	(from http://www.dodladairy.com/products.html)
00:04:48	27909/27909	---M--	200	added ('OK')	image/png	etag:%2224e029e-6d05-55ba38a578b86%22	http://www.dodladairy.com/images/underconstruction.png	C:/ball%20baba/doodla/www.dodladairy.com/images/underconstruction.png	(from http://www.dodladairy.com/cow-milk.html)
00:04:55	628277/628277	---M--	200	added ('OK')	image/jpeg	etag:%2224e181b-99635-55ba649800ead%22	http://www.dodladairy.com/images/sample/slider/inner_06.jpg	C:/ball%20baba/doodla/www.dodladairy.com/images/sample/slider/inner_06.jpg	(from http://www.dodladairy.com/dodlamilk.html)
00:05:04	98421/98421	---M--	200	added ('OK')	image/png	etag:%2224e17f8-18075-536cc74626133%22	http://www.dodladairy.com/images/portfolio/thumb/milk-02.png	C:/ball%20baba/doodla/www.dodladairy.com/images/portfolio/thumb/milk-02.png	(from http://www.dodladairy.com/uht-milk.html)
00:05:09	82225/82225	---M--	200	added ('OK')	image/jpeg	etag:%2224e181c-14131-558beb37bbab6%22	http://www.dodladairy.com/images/sample/slider/inner_07.jpg	C:/ball%20baba/doodla/www.dodladairy.com/images/sample/slider/inner_07.jpg	(from http://www.dodladairy.com/dodla-curd.html)
00:05:40	218187/218187	---M--	200	added ('OK')	image/png	etag:%2224e028c-3544b-558beecb8ed8d%22	http://www.dodladairy.com/images/curd.png	C:/ball%20baba/doodla/www.dodladairy.com/images/curd.png	(from http://www.dodladairy.com/dodla-curd.html)
00:05:48	51498/51498	---M--	200	added ('OK')	image/png	etag:%2224e17ed-c92a-54d30bd74d342%22	http://www.dodladairy.com/images/portfolio/thumb/ghee-04.png	C:/ball%20baba/doodla/www.dodladairy.com/images/portfolio/thumb/ghee-04.png	(from http://www.dodladairy.com/dodla-ghee.html)
00:06:01	94943/94943	---M--	200	added ('OK')	image/png	etag:%2224e029c-172df-55b6c0f1085b0%22	http://www.dodladairy.com/images/portfolio/thumb/ghee-05.png	C:/ball%20baba/doodla/www.dodladairy.com/images/portfolio/thumb/ghee-05.png	(from http://www.dodladairy.com/dodla-ghee.html)
00:06:11	134518/134518	---M--	200	added ('OK')	image/png	etag:%2224e029b-20d76-55b6c0edfa9bd%22	http://www.dodladairy.com/images/portfolio/thumb/ghee-06.png	C:/ball%20baba/doodla/www.dodladairy.com/images/portfolio/thumb/ghee-06.png	(from http://www.dodladairy.com/dodla-ghee.html)
00:06:32	671158/671158	---M--	200	added ('OK')	image/jpeg	etag:%2224e029f-a3db6-55ba78c99bef8%22	http://www.dodladairy.com/images/sample/slider/inner_06-uht.jpg	C:/ball%20baba/doodla/www.dodladairy.com/images/sample/slider/inner_06-uht.jpg	(from http://www.dodladairy.com/uht-milk.html)
00:06:44	204521/204521	---M--	200	added ('OK')	image/png	etag:%2224e17fe-31ee9-55b6c0eace580%22	http://www.dodladairy.com/images/portfolio/thumb/paneer-01.png	C:/ball%20baba/doodla/www.dodladairy.com/images/portfolio/thumb/paneer-01.png	(from http://www.dodladairy.com/dodla-paneer.html)
00:06:46	86398/86398	---M--	200	added ('OK')	image/jpeg	etag:%2224e181f-1517e-536cc7aec6ba8%22	http://www.dodladairy.com/images/sample/slider/inner_10.jpg	C:/ball%20baba/doodla/www.dodladairy.com/images/sample/slider/inner_10.jpg	(from http://www.dodladairy.com/dodla-doodh-peda.html)
00:07:07	137807/137807	---M--	200	added ('OK')	image/png	etag:%2224e179b-21a4f-536cc705a963b%22	http://www.dodladairy.com/images/portfolio/thumb/doodhpeda-01.png	C:/ball%20baba/doodla/www.dodladairy.com/images/portfolio/thumb/doodhpeda-01.png	(from http://www.dodladairy.com/dodla-doodh-peda.html)
00:07:22	89200/89200	---M--	200	added ('OK')	image/png	etag:%2224e178f-15c70-536cc6e43edf9%22	http://www.dodladairy.com/images/portfolio/thumb/buttermilk-01.png	C:/ball%20baba/doodla/www.dodladairy.com/images/portfolio/thumb/buttermilk-01.png	(from http://www.dodladairy.com/dodla-butter-milk.html)
00:07:30	105295/105295	---M--	200	added ('OK')	image/png	etag:%2224e1791-19b4f-536cc6e96dc9f%22	http://www.dodladairy.com/images/portfolio/thumb/buttermilk-02.png	C:/ball%20baba/doodla/www.dodladairy.com/images/portfolio/thumb/buttermilk-02.png	(from http://www.dodladairy.com/dodla-butter-milk.html)
00:07:39	54092/54092	---M--	200	added ('OK')	image/png	etag:%2224e179d-d34c-55b6c0e705954%22	http://www.dodladairy.com/images/portfolio/thumb/flavouredmilk-01.png	C:/ball%20baba/doodla/www.dodladairy.com/images/portfolio/thumb/flavouredmilk-01.png	(from http://www.dodladairy.com/dodla-flavoured-milk.html)
00:07:45	363392/363392	---M--	200	added ('OK')	image/jpeg	etag:%2224e1820-58b80-55b6c09145ae7%22	http://www.dodladairy.com/images/sample/slider/inner_11.jpg	C:/ball%20baba/doodla/www.dodladairy.com/images/sample/slider/inner_11.jpg	(from http://www.dodladairy.com/dodla-butter-milk.html)
00:07:48	54120/54120	---M--	200	added ('OK')	image/png	etag:%2224e179f-d368-55b6c0df9f84f%22	http://www.dodladairy.com/images/portfolio/thumb/flavouredmilk-02.png	C:/ball%20baba/doodla/www.dodladairy.com/images/portfolio/thumb/flavouredmilk-02.png	(from http://www.dodladairy.com/dodla-flavoured-milk.html)
